STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,09/07/2005,70,"H,,S",82,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,12/07/2005,64,"H,,S",70,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,14/07/2005,65,"H,,S",74,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,15/07/2005,71,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,16/07/2005,71,"H,,S",82,",,S",59,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,18/07/2005,67,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,20/07/2005,66,"H,,S",77,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,22/07/2005,62,"H,,S",77,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,25/07/2005,69,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,26/07/2005,65,"H,,S",76,",,S",56,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,28/07/2005,64,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,30/07/2005,65,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,31/07/2005,67,"H,,S",80,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,01/08/2005,67,"H,,S",81,",,S",52,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,02/08/2005,63,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,04/08/2005,67,"H,,S",,,,
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,05/08/2005,62,"H,,S",70,",,S",58,",,S"
MXM00076680,"MEXICO CITY, MX",19.4,-99.183,2303,06/08/2005,63,"H,,S",76,",,S",55,",,S"
